iter	Logloss
119	0.3039424052
120	0.3034993695
121	0.3030267946
122	0.302653631
123	0.3021742875
124	0.3017456561
125	0.3013398716
126	0.3009600981
127	0.3005959035
128	0.3002362501
129	0.2999300305
130	0.2993833288
131	0.2990308588
132	0.2985052006
133	0.298130855
134	0.2977701864
135	0.2974112724
136	0.2970780474
137	0.2967847312
138	0.2964897584
139	0.2961616798
140	0.2958515874
141	0.2955426745
142	0.2952545792
143	0.29495609
144	0.2946655095
145	0.2943539134
146	0.2940518286
147	0.293725567
148	0.2934608864
149	0.2931656563
150	0.2928938963
151	0.2926328157
152	0.2923642865
153	0.2921197405
154	0.2918714476
155	0.2915953166
156	0.2913485536
157	0.2910899129
158	0.2908538781
159	0.2905658762
160	0.290299996
161	0.2900001243
162	0.289776259
163	0.2895260711
164	0.2893171326
165	0.2890795075
166	0.2887842983
167	0.2885578836
168	0.2883701054
169	0.2880810806
170	0.2878862096
171	0.2876500929
172	0.2874268473
173	0.2872278723
174	0.287028641
175	0.2868378841
176	0.2866218518
177	0.28644465
178	0.2862580203
179	0.2860465796
180	0.2858673367
181	0.2856316968
182	0.2854390708
183	0.2852288462
184	0.2850222587
185	0.2848635454
186	0.2847070737
187	0.284535284
188	0.2843691959
189	0.2842085783
190	0.284054315
191	0.2838823539
192	0.2837549245
193	0.2836190706
194	0.2834096889
195	0.2832646165
196	0.283119617
197	0.2830065408
198	0.2827906046
199	0.2826712978
200	0.2825161717
201	0.2823297384
202	0.2821604072
203	0.2820250701
204	0.2818260743
205	0.281694257
206	0.2815592641
207	0.2814398002
208	0.2813201341
209	0.2812050706
210	0.2810759909
211	0.2809102769
212	0.2807722259
213	0.2806265902
214	0.2805010512
215	0.2803571135
216	0.2802288092
217	0.2801011128
218	0.2799535927
219	0.2797858742
220	0.2796437365
221	0.2795360619
222	0.2794214887
223	0.2793464362
224	0.2792060679
225	0.2791027487
226	0.2789700056
227	0.2788574878
228	0.2787515197
229	0.2786613192
230	0.2785665944
231	0.2784907772
232	0.2783518588
233	0.2781948887
234	0.278108207
235	0.2779442456
236	0.2778548161
237	0.2777438711
238	0.2776240187
239	0.2774985034
240	0.277372958
241	0.2772647753
242	0.2771932655
243	0.2771256967
244	0.2770292527
245	0.276908581
246	0.2768115952
247	0.2766824998
248	0.2765679691
249	0.2764684533
250	0.276388583
251	0.2762669564
252	0.2761657588
253	0.2760564559
254	0.2759600228
255	0.2758933489
256	0.2758043141
257	0.2757283054
258	0.2756201977
259	0.2755277631
260	0.275433813
261	0.2753561634
262	0.2752906164
263	0.2752041809
264	0.2751376202
265	0.2750772957
266	0.2750076945
267	0.2749402295
268	0.2749004413
269	0.2747989204
270	0.2747193466
271	0.2746495233
272	0.2745619488
273	0.2744821629
274	0.2743978115
275	0.2743398376
276	0.2742663118
277	0.2741848959
278	0.2741143894
279	0.2740474916
280	0.2739463705
281	0.273890083
282	0.2738126014
283	0.2737643389
284	0.2736891905
285	0.2736310569
286	0.2735709993
287	0.2735211978
288	0.2734555803
289	0.2733828532
290	0.2733266985
291	0.2732685844
292	0.273197154
293	0.2731214361
294	0.2730663405
295	0.2730054816
296	0.2729557762
297	0.2728673896
298	0.27280075
299	0.2727414184
300	0.2726845122
301	0.2726351942
302	0.2725680287
303	0.2725189478
304	0.2724729688
305	0.2724268271
306	0.2723849053
307	0.2723183167
308	0.2722588453
309	0.2721877231
310	0.2721231588
311	0.272075118
312	0.2720087068
313	0.2719467953
314	0.2718955644
315	0.2718494901
316	0.2718043998
317	0.271760643
318	0.271710484
319	0.2716694313
320	0.2716122608
321	0.2715578938
322	0.2715162003
323	0.2714603574
324	0.2714010992
325	0.271344014
326	0.2712892723
327	0.2711977168
328	0.2711082417
329	0.2710207977
330	0.2709539172
331	0.2709139602
332	0.2708806665
333	0.2708450148
334	0.270778895
335	0.2706903335
336	0.2706378937
337	0.270596025
338	0.2705527492
339	0.2705018773
340	0.2704618596
341	0.2704101342
342	0.2703734342
343	0.2703209211
344	0.270270794
345	0.2701864996
346	0.2701058442
347	0.2700603946
348	0.269982939
349	0.2699295524
350	0.26986237
351	0.2698269483
352	0.2697884158
353	0.2697232153
354	0.2696870728
355	0.2696478119
356	0.2696198709
357	0.2695479278
358	0.2694963681
359	0.2694697908
360	0.2694300037
361	0.2693603711
362	0.2692958167
363	0.2692326038
364	0.2691668868
365	0.26911003
366	0.2690679797
367	0.2690332199
368	0.2689928599
369	0.2689315838
370	0.2688995763
371	0.2688677763
372	0.2688256868
373	0.2687621876
374	0.2687077635
375	0.2686484198
376	0.2686241189
377	0.2685683123
378	0.2685004285
379	0.2684425807
380	0.2684029604
381	0.2683629978
382	0.2683026526
383	0.268242311
384	0.2682137111
385	0.2681274055
386	0.2680727951
387	0.2680193874
388	0.2679856347
389	0.2679577229
390	0.2679012796
391	0.2678448355
392	0.2677879685
393	0.2677562746
394	0.2677170186
395	0.2676615131
396	0.2676026015
397	0.2675746513
398	0.2675246493
399	0.2674938226
400	0.2674195719
401	0.2673696302
402	0.2673184512
403	0.2672697231
404	0.2672411741
405	0.2671895153
406	0.267138866
407	0.2671154342
408	0.2670902578
409	0.2670199793
410	0.2669967428
411	0.266938598
412	0.2668750879
413	0.2668263656
414	0.26679093
415	0.2667565356
416	0.2667010976
417	0.2666608895
418	0.2666323075
419	0.2666130442
420	0.2665789236
421	0.2665286892
422	0.2664743331
423	0.2664271823
424	0.2663622218
425	0.2663189716
426	0.2662898271
427	0.2662475024
428	0.266184285
429	0.2661481361
430	0.2660833063
431	0.2660549834
432	0.2660071888
433	0.2659391443
434	0.2658968844
435	0.2658664399
436	0.2658370019
437	0.2658090456
438	0.265760171
439	0.2657008816
440	0.2656542101
441	0.2656004448
442	0.265552168
443	0.2655038715
444	0.265431841
445	0.2653961773
446	0.2653354562
447	0.2653094695
448	0.2652525915
449	0.2652209797
450	0.2651923199
451	0.2651696903
452	0.2651420484
453	0.2650956778
454	0.2650565241
455	0.2650061976
456	0.2649415197
457	0.2649089659
458	0.2648833302
459	0.2648633152
460	0.2648155503
461	0.2647591854
462	0.2647206517
463	0.2646903325
464	0.2646638606
465	0.2646268215
466	0.2646072702
467	0.2645647116
468	0.2645294146
469	0.2645047191
470	0.2644737878
471	0.2644195379
472	0.2643824686
473	0.2643192893
474	0.2642984851
475	0.264275362
476	0.2642484243
477	0.2642156316
478	0.264184859
479	0.2641507694
480	0.2641285864
481	0.2640760631
482	0.2640560493
483	0.2640300743
484	0.2640023135
485	0.2639637713
486	0.2639282124
487	0.2638963186
488	0.2638642804
489	0.2638382364
490	0.2638125639
491	0.2637860889
492	0.2637501704
493	0.2637097714
494	0.2636495532
495	0.2636139787
496	0.2635877915
497	0.2635697727
498	0.2635147605
499	0.2634747039
500	0.2634574966
501	0.2634118842
502	0.263364783
503	0.2633217381
504	0.263285879
505	0.2632438284
506	0.2632225027
507	0.2631958362
508	0.2631714302
509	0.2631380579
510	0.2631193958
511	0.263092002
512	0.2630692147
513	0.2630283262
514	0.2629838346
515	0.2629417389
516	0.2629246647
517	0.2628865884
518	0.2628437549
519	0.262819661
520	0.2627639129
521	0.2627281647
522	0.2627015481
